Dimensão,Heidegger,Sartre,Aristóteles,Platão,Spinoza
1. Saúde Física,Ser-em-si,Facticidade,Potência,Sensível,Conatus
2. Saúde Mental,Ser-em-si,Facticidade,Potência,Sensível,Alegria/Tristeza
3. Relacionamentos,Ser-com-outros,Responsabilidade,Eudaimonia,Participação,Afeto
4. Carreira,Ser-para-si,Transcendência,Ato,Sensível,Conatus
5. Finanças,Ser-no-mundo,Facticidade,Potência,Sensível,Conatus
6. Espiritualidade,Ser-no-mundo,Má-fé/Autenticidade,Eudaimonia,Inteligível,Alegria
7. Lazer,Ser-no-mundo,Liberdade,Eudaimonia,Sensível,Alegria
8. Aprendizado,Ser-para-si,Transcendência,Potência→Ato,Inteligível,Potência
9. Contribuição,Ser-com-outros,Responsabilidade,Eudaimonia,Inteligível,Amor Fati
10. Meio Ambiente,Ser-no-mundo,Responsabilidade,Eudaimonia,Inteligível,Amor Fati
11. Família,Ser-com-outros,Responsabilidade,Eudaimonia,Participação,Afeto
12. Comunidade,Ser-com-outros,Responsabilidade,Eudaimonia,Participação,Afeto
13. Criatividade,Ser-para-si,Transcendência,Ato,Inteligível,Potência
